tweet_id,created_at,user_name,screen_name,original_text,cleaned_text,normalized_text,preprocessed_text
2073934958490706048,Mon Jul 06 01:00:00 +0000 2026,Ilmu Tambang,ilmutambang_id,"Meski harga minyak dunia kembali melemah, harga Pertamax belum mengalami penyesuaian. Pertamina menyebut penetapan harga BBM nonsubsidi juga mempertimbangkan nilai tukar rupiah, regulasi pemerintah, dan daya beli masyarakat⛽📉

Kalau menurut kamu kawan, faktor mana yang paling https://t.co/0dwPq8nPaD",meski harga minyak dunia kembali melemah harga pertamax belum mengalami penyesuaian pertamina menyebut penetapan harga bbm nonsubsidi juga mempertimbangkan nilai tukar rupiah regulasi pemerintah dan daya beli masyarakat kalau menurut kamu kawan faktor mana yang paling,meski harga minyak dunia kembali melemah harga pertamax belum mengalami penyesuaian pertamina menyebut penetapan harga bbm nonsubsidi juga mempertimbangkan nilai tukar rupiah regulasi pemerintah dan daya beli masyarakat kalau menurut kamu kawan faktor mana yang paling,meski harga minyak dunia lemah harga pertamax alami sesuai pertamina sebut tetap harga bbm nonsubsidi timbang nilai tukar rupiah regulasi perintah daya beli masyarakat kalau kamu kawan faktor mana paling
2073924941670707397,Mon Jul 06 00:20:12 +0000 2026,strategi.id,strategi_id,"https://t.co/jXyVAF5IuT - PT Pertamina Patra Niaga menurunkan sejumlah harga bahan bakar minyak (BBM) nonsubsidi per 1 Juli 2026.

baca selengkapnya di https://t.co/krwZRPTjw9

#bbm #harga #pertamina #pertamax #pertalite https://t.co/F0gIWGOCmP",pt pertamina patra niaga menurunkan sejumlah harga bahan bakar minyak bbm nonsubsidi per juli baca selengkapnya di,pt pertamina patra niaga menurunkan sejumlah harga bahan bakar minyak bbm nonsubsidi per juli baca selengkapnya di,pt pertamina patra niaga turun jumlah harga bahan bakar minyak bbm nonsubsidi per juli baca lengkap
2073750652338229597,Sun Jul 05 12:47:38 +0000 2026,4ACE,4ACE10,"@nozelism Gw cukup yakin org2 yg sebelumnya ngeluh+ngememe MBG, ngejokes WowoTeddy, ngeluh pertamax naik, dll akan langsung ""Wah akhirnya ada presiden waras di Indonesia""",gw cukup yakin org yg sebelumnya ngeluh ngememe mbg ngejokes wowoteddy ngeluh pertamax naik dll akan langsung wah akhirnya ada presiden waras di indonesia,gue cukup yakin orang yang sebelumnya ngeluh ngememe mbak ngejokes wowoteddy ngeluh pertamax naik dll akan langsung wah akhirnya ada presiden waras di indonesia,gue cukup yakin orang belum ngeluh ngememe mbak ngejokes wowoteddy ngeluh pertamax naik langsung wah akhir presiden waras indonesia
2073696635918655574,Sun Jul 05 09:13:00 +0000 2026,Liz 🍦,karaktierr,when ya pertamax turun harga 🤷🏻‍♀️ https://t.co/Qp7uYarUMT,when ya pertamax turun harga,when ya pertamax turun harga,when pertamax turun harga
2073621395519709587,Sun Jul 05 04:14:01 +0000 2026,Bloomberg Technoz,BloombergTZ,"Harga BBM RON 92 di sejumlah SPBU Indonesia masih bertahan di kisaran Rp16.000 per liter per 1 Juli 2026, dengan Pertamina menjual Pertamax Rp16.250/liter serta BP-AKR dan Vivo Energy Indonesia menjual BP 92 dan Revvo 92 masing-masing Rp16.670/liter.",harga bbm ron di sejumlah spbu indonesia masih bertahan di kisaran rp per liter per juli dengan pertamina menjual pertamax rp liter serta bp akr dan vivo energy indonesia menjual bp dan revvo masing masing rp liter,harga bbm ron di sejumlah spbu indonesia masih bertahan di kisaran rp per liter per juli dengan pertamina menjual pertamax rp liter serta bp akr dan vivo energy indonesia menjual bp dan revvo masing masing rp liter,harga bbm ron jumlah spbu indonesia tahan kisar rp per liter per juli pertamina jual pertamax rp liter bp akr vivo energy indonesia jual bp revvo masing masing rp liter
2073620042449928549,Sun Jul 05 04:08:38 +0000 2026,kaya akan,rempahhrempah,"Najis pom bensin pertamina udahlah monopoli bensin (iya kalian emang tu ngusir Shell Vivo dll), harga pertamax ga ngotak pdhl katanya negeri kaya minyak bumi, peluang bisa bayar pake QRIS 1/10000000000, ngantri pulak pdhl minggu pagi.
Auto putar balik. Waktu gw terlalu berharga. https://t.co/09r340k0DY",najis pom bensin pertamina udahlah monopoli bensin iya kalian emang tu ngusir shell vivo dll harga pertamax ga ngotak pdhl katanya negeri kaya minyak bumi peluang bisa bayar pake qris ngantri pulak pdhl minggu pagi auto putar balik waktu gw terlalu berharga,najis pom bensin pertamina sudahlah monopoli bensin iya kalian memang itu ngusir shell vivo dll harga pertamax enggak ngotak padahal katanya negeri kayak minyak bumi peluang bisa bayar pakai qris mengantri pula padahal minggu pagi auto putar balik waktu gue terlalu berharga,najis pom bensin pertamina sudah monopoli bensin iya kalian memang ngusir shell vivo harga pertamax enggak ngotak padahal kata negeri kayak minyak bumi peluang bayar pakai qris antri padahal minggu pagi auto putar balik waktu gue terlalu harga
2073352969123455445,Sat Jul 04 10:27:23 +0000 2026,marvin,tertamvan_,@dimarsasongko98 Sumpah gw juga ngeh pas pemberitahuan Pertamax naik tuh antrian spbu di semua sudut Bekasi antre nya minta ampun sampe ke jalan raya dan itu pada antre Pertalite,sumpah gw juga ngeh pas pemberitahuan pertamax naik tuh antrian spbu di semua sudut bekasi antre nya minta ampun sampe ke jalan raya dan itu pada antre pertalite,sumpah gue juga engah pas pemberitahuan pertamax naik tuh antrian spbu di semua sudut bekasi antre nya meminta ampun sampai ke jalan raya dan itu pada antre pertalite,sumpah gue engah pas pemberitahuan pertamax naik tuh antri spbu semua sudut bekas antre nya minta ampun jalan raya antre pertalite
2073241637061587140,Sat Jul 04 03:04:59 +0000 2026,ara_ka🕸️ bocilAralie,dikAralie,"14/ harga Pertamax ini lagi aja 😔

(kangen) https://t.co/GANLQakgBn",harga pertamax ini lagi aja kangen,harga pertamax ini lagi saja kangen,harga pertamax kangen
2073066736367096101,Fri Jul 03 15:30:00 +0000 2026,Radio Elshinta,RadioElshinta,"Kebijakan harga Pertamax dinilai masih sangat rasional

https://t.co/RdpHWWNTXr",kebijakan harga pertamax dinilai masih sangat rasional,kebijakan harga pertamax dinilai masih sangat rasional,bijak harga pertamax nilai sangat rasional
2073010915738591388,Fri Jul 03 11:48:11 +0000 2026,Humas Polda Jabar,humaspoldajbr,"[HOAKS] Harga Pertamax Turun Jadi Rp 12.800 Per Liter Mulai 1 Juli 2026

PT Pertamina Patra Niaga kembali melakukan penyesuaian harga bahan bakar minyak (BBM) nonsubsidi mulai 1 Juli 2026. Tiga jenis BBM nonsubsidi yang turun adalah Pertamax Turbo, Dexlite, dan Pertamina Dex. Di https://t.co/EAGs0CL6Lj",hoaks harga pertamax turun jadi rp per liter mulai juli pt pertamina patra niaga kembali melakukan penyesuaian harga bahan bakar minyak bbm nonsubsidi mulai juli tiga jenis bbm nonsubsidi yang turun adalah pertamax turbo dexlite dan pertamina dex di,hoaks harga pertamax turun jadi rp per liter mulai juli pt pertamina patra niaga kembali melakukan penyesuaian harga bahan bakar minyak bbm nonsubsidi mulai juli tiga jenis bbm nonsubsidi yang turun adalah pertamax turbo dexlite dan pertamina dex di,hoaks harga pertamax turun jadi rp per liter mulai juli pt pertamina patra niaga laku sesuai harga bahan bakar minyak bbm nonsubsidi mulai juli tiga jenis bbm nonsubsidi turun pertamax turbo dexlite pertamina dex
2073006880562294830,Fri Jul 03 11:32:09 +0000 2026,Tribunnews.com,tribunnews,"Sejumlah pakar menjelaskan alasan mengapa pemerintah tak kunjung menurunkan harga Bahan Bakar Minyak (BBM) nonsubsidi jenis Pertamax (RON 92) meski harga minyak dunia mengalami pelemahan.

Harga pertamax tidak berubah dari level Rp16.250/liter saat PT Pertamina (Persero) https://t.co/cwnNye9W6t",sejumlah pakar menjelaskan alasan mengapa pemerintah tak kunjung menurunkan harga bahan bakar minyak bbm nonsubsidi jenis pertamax ron meski harga minyak dunia mengalami pelemahan harga pertamax tidak berubah dari level rp liter saat pt pertamina persero,sejumlah pakar menjelaskan alasan mengapa pemerintah tak kunjung menurunkan harga bahan bakar minyak bbm nonsubsidi jenis pertamax ron meski harga minyak dunia mengalami pelemahan harga pertamax tidak berubah dari level rp liter saat pt pertamina persero,jumlah pakar jelas alas perintah tak kunjung turun harga bahan bakar minyak bbm nonsubsidi jenis pertamax ron meski harga minyak dunia alami lemah harga pertamax ubah level rp liter pt pertamina persero
2072960893969956936,Fri Jul 03 08:29:25 +0000 2026,mami tachan,KyotaTasuku,"aww tencu sudah mencintai si devvan dan aniani ntuh lop 🥺🫰🏻tbh aku beneran seneng tiap ada yg bilang suka sama cerita mereka padahal cp toksik, jadi kek apa ya ‘oh ternyata trope begini ada aja target pasarnya’ 🤣

sure aku juga sekarang kalau ada isu2 pemrintahan langsung ingat https://t.co/8dowFwBsTP",aww tencu sudah mencintai si devvan dan aniani ntuh lop tbh aku beneran seneng tiap ada yg bilang suka sama cerita mereka padahal cp toksik jadi kek apa ya oh ternyata trope begini ada aja target pasarnya sure aku juga sekarang kalau ada isu pemrintahan langsung ingat,aww tencu sudah mencintai sih devvan dan aniani ntuh lop tbh aku benaran senang tiap ada yang bilang suka sama cerita mereka padahal cp toksik jadi kayak apa ya oh ternyata trope begini ada saja target pasarnya sure aku juga sekarang kalau ada isu pemrintahan langsung ingat,aww tencu cinta devvan aniani ntuh lop tbh aku benar senang tiap bilang suka sama cerita padahal cp toksik jadi kayak apa nyata trope begini target pasar sure aku sekarang kalau isu pemrintahan langsung ingat
